index	  h	  k	  l	 Ug_real  	 Ug_imag  	Vg_real(V)	Vg_imag(V)	 |Vg|(V)   	phi(rad)
  0	  0	  0	  0	 0.235895	 0.000000	22.356407	 0.000000	22.356407	 0.000000
  1	  0	  1	  0	 0.000593	-0.000000	 0.056208	-0.000001	 0.056208	-0.000011
  2	  0	 -1	  0	 0.000593	 0.000000	 0.056208	 0.000001	 0.056208	 0.000011
  3	  0	 -2	  0	 0.082870	-0.000000	 7.853771	-0.000001	 7.853771	-0.000000
  4	  0	  2	  0	 0.082870	 0.000000	 7.853771	 0.000001	 7.853771	 0.000000
  5	  1	 -1	  0	 0.064143	 0.000000	 6.078952	 0.000000	 6.078952	 0.000000
  6	 -1	  1	  0	 0.064143	 0.000000	 6.078952	 0.000000	 6.078952	 0.000000
  7	 -1	  0	  0	 0.000593	 0.000000	 0.056208	 0.000001	 0.056208	 0.000011
  8	  1	  0	  0	 0.000593	-0.000000	 0.056208	-0.000001	 0.056208	-0.000011
  9	  1	  1	  0	 0.064143	 0.000000	 6.078952	 0.000001	 6.078952	 0.000000
 10	 -1	 -1	  0	 0.064143	-0.000000	 6.078952	-0.000001	 6.078952	-0.000000
 11	 -2	 -2	  0	 0.054938	-0.000000	 5.206609	-0.000001	 5.206609	-0.000000
 12	  2	  2	  0	 0.054938	 0.000000	 5.206609	 0.000001	 5.206609	 0.000000
 13	 -2	  2	  0	 0.054938	 0.000000	 5.206609	 0.000000	 5.206609	 0.000000
 14	  2	 -2	  0	 0.054938	 0.000000	 5.206609	 0.000000	 5.206609	 0.000000
 15	  1	 -2	  0	-0.001649	 0.000000	-0.156241	 0.000000	 0.156241	 3.141593
 16	 -1	  2	  0	-0.001649	-0.000000	-0.156241	-0.000000	 0.156241	-3.141593
 17	  1	  2	  0	-0.001649	 0.000000	-0.156241	 0.000000	 0.156241	 3.141593
 18	 -1	 -2	  0	-0.001649	-0.000000	-0.156241	-0.000000	 0.156241	-3.141593
 19	 -2	  1	  0	-0.001649	 0.000000	-0.156241	 0.000000	 0.156241	 3.141593
 20	  2	 -1	  0	-0.001649	-0.000000	-0.156241	-0.000000	 0.156241	-3.141593
 21	 -2	 -1	  0	-0.001649	-0.000000	-0.156241	-0.000000	 0.156241	-3.141593
 22	  2	  1	  0	-0.001649	 0.000000	-0.156241	 0.000000	 0.156241	 3.141593
 23	 -2	  0	  0	 0.082870	-0.000000	 7.853771	-0.000001	 7.853771	-0.000000
 24	  2	  0	  0	 0.082870	 0.000000	 7.853771	 0.000001	 7.853771	 0.000000
