index	  h	  k	  l	 Ug_real  	 Ug_imag  	Vg_real(V)	Vg_imag(V)	 |Vg|(V)   	phi(rad)
  0	  0	  0	  0	 0.235895	 0.000000	22.356407	 0.000000	22.356407	 0.000000
  1	  0	  1	  0	 0.000581	 0.000000	 0.055054	 0.000000	 0.055054	 0.000000
  2	  0	 -1	  0	 0.000581	 0.000000	 0.055054	 0.000000	 0.055054	 0.000000
  3	  0	 -2	  0	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
  4	  0	  2	  0	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
  5	  1	 -1	  0	 0.046007	 0.000000	 4.360186	 0.000000	 4.360186	 0.000000
  6	 -1	  1	  0	 0.046037	 0.000000	 4.363092	 0.000000	 4.363092	 0.000000
  7	 -1	  0	  0	 0.000584	 0.000000	 0.055382	 0.000000	 0.055382	 0.000000
  8	  1	  0	  0	 0.000581	 0.000000	 0.055054	 0.000000	 0.055054	 0.000000
  9	  1	  1	  0	 0.046038	 0.000000	 4.363094	 0.000000	 4.363094	 0.000000
 10	 -1	 -1	  0	 0.046007	 0.000000	 4.360185	 0.000000	 4.360185	 0.000000
 11	 -2	 -2	  0	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 12	  2	  2	  0	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 13	 -2	  2	  0	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 14	  2	 -2	  0	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 15	  1	 -2	  0	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 16	 -1	  2	  0	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 17	  1	  2	  0	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 18	 -1	 -2	  0	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 19	 -2	  1	  0	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 20	  2	 -1	  0	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 21	 -2	 -1	  0	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 22	  2	  1	  0	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 23	 -2	  0	  0	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 24	  2	  0	  0	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
