index	  h	  k	  l	 Ug_real  	 Ug_imag  	Vg_real(V)	Vg_imag(V)	 |Vg|(V)   	phi(rad)
  0	  0	  0	  0	 0.235895	 0.000000	22.356407	 0.000000	22.356407	 0.000000
  1	  1	  0	  0	 0.000593	-0.000000	 0.056208	-0.000001	 0.056208	-0.000011
  2	 -1	  0	  0	 0.000593	 0.000000	 0.056208	 0.000001	 0.056208	 0.000011
  3	 -2	  0	  0	 0.082870	-0.000000	 7.853771	-0.000001	 7.853771	-0.000000
  4	  2	  0	  0	 0.082870	 0.000000	 7.853771	 0.000001	 7.853771	 0.000000
  5	  0	  1	  0	 0.000593	-0.000000	 0.056208	-0.000001	 0.056208	-0.000011
  6	  0	 -1	  0	 0.000593	 0.000000	 0.056208	 0.000001	 0.056208	 0.000011
  7	  0	 -2	  0	 0.082870	-0.000000	 7.853771	-0.000001	 7.853771	-0.000000
  8	  1	 -1	  0	 0.064143	 0.000000	 6.078952	 0.000000	 6.078952	 0.000000
  9	 -1	 -1	  0	 0.064143	-0.000000	 6.078952	-0.000001	 6.078952	-0.000000
 10	  0	  2	  0	 0.082870	 0.000000	 7.853771	 0.000001	 7.853771	 0.000000
 11	  1	  1	  0	 0.064143	 0.000000	 6.078952	 0.000001	 6.078952	 0.000000
 12	 -1	  1	  0	 0.064143	 0.000000	 6.078952	 0.000000	 6.078952	 0.000000
