index	beams	T	ik_x	ik_y	thetaX_mrad	thetaY_mrad
0	3	12.3799	-5	0	-40.00000	 0.00000
1	3	12.3799	-4	-3	-32.00000	-24.00000
2	3	12.3779	-4	-2	-32.00000	-16.00000
3	3	12.3767	-4	-1	-32.00000	-8.00000
4	3	12.3764	-4	0	-32.00000	 0.00000
5	3	12.3767	-4	1	-32.00000	 8.00000
6	3	12.3779	-4	2	-32.00000	16.00000
7	3	12.3799	-4	3	-32.00000	24.00000
8	3	12.3799	-3	-4	-24.00000	-32.00000
9	3	12.3771	-3	-3	-24.00000	-24.00000
10	3	12.3752	-3	-2	-24.00000	-16.00000
11	3	12.374	-3	-1	-24.00000	-8.00000
12	3	12.3736	-3	0	-24.00000	 0.00000
13	3	12.374	-3	1	-24.00000	 8.00000
14	3	12.3752	-3	2	-24.00000	16.00000
15	3	12.3771	-3	3	-24.00000	24.00000
16	3	12.3799	-3	4	-24.00000	32.00000
17	3	12.3779	-2	-4	-16.00000	-32.00000
18	3	12.3752	-2	-3	-16.00000	-24.00000
19	3	12.3732	-2	-2	-16.00000	-16.00000
20	3	12.372	-2	-1	-16.00000	-8.00000
21	3	12.3716	-2	0	-16.00000	 0.00000
22	3	12.372	-2	1	-16.00000	 8.00000
23	3	12.3732	-2	2	-16.00000	16.00000
24	3	12.3752	-2	3	-16.00000	24.00000
25	3	12.3779	-2	4	-16.00000	32.00000
26	3	12.3767	-1	-4	-8.00000	-32.00000
27	3	12.374	-1	-3	-8.00000	-24.00000
28	3	12.372	-1	-2	-8.00000	-16.00000
29	5	12.3708	-1	-1	-8.00000	-8.00000
30	6	12.3704	-1	0	-8.00000	 0.00000
31	5	12.3708	-1	1	-8.00000	 8.00000
32	3	12.372	-1	2	-8.00000	16.00000
33	3	12.374	-1	3	-8.00000	24.00000
34	3	12.3767	-1	4	-8.00000	32.00000
35	3	12.3799	0	-5	 0.00000	-40.00000
36	3	12.3764	0	-4	 0.00000	-32.00000
37	3	12.3736	0	-3	 0.00000	-24.00000
38	3	12.3716	0	-2	 0.00000	-16.00000
39	6	12.3704	0	-1	 0.00000	-8.00000
40	9	12.37	0	0	 0.00000	 0.00000
41	6	12.3704	0	1	 0.00000	 8.00000
42	3	12.3716	0	2	 0.00000	16.00000
43	3	12.3736	0	3	 0.00000	24.00000
44	3	12.3764	0	4	 0.00000	32.00000
45	3	12.3799	0	5	 0.00000	40.00000
46	3	12.3767	1	-4	 8.00000	-32.00000
47	3	12.374	1	-3	 8.00000	-24.00000
48	3	12.372	1	-2	 8.00000	-16.00000
49	5	12.3708	1	-1	 8.00000	-8.00000
50	6	12.3704	1	0	 8.00000	 0.00000
51	5	12.3708	1	1	 8.00000	 8.00000
52	3	12.372	1	2	 8.00000	16.00000
53	3	12.374	1	3	 8.00000	24.00000
54	3	12.3767	1	4	 8.00000	32.00000
55	3	12.3779	2	-4	16.00000	-32.00000
56	3	12.3752	2	-3	16.00000	-24.00000
57	3	12.3732	2	-2	16.00000	-16.00000
58	3	12.372	2	-1	16.00000	-8.00000
59	3	12.3716	2	0	16.00000	 0.00000
60	3	12.372	2	1	16.00000	 8.00000
61	3	12.3732	2	2	16.00000	16.00000
62	3	12.3752	2	3	16.00000	24.00000
63	3	12.3779	2	4	16.00000	32.00000
64	3	12.3799	3	-4	24.00000	-32.00000
65	3	12.3771	3	-3	24.00000	-24.00000
66	3	12.3752	3	-2	24.00000	-16.00000
67	3	12.374	3	-1	24.00000	-8.00000
68	3	12.3736	3	0	24.00000	 0.00000
69	3	12.374	3	1	24.00000	 8.00000
70	3	12.3752	3	2	24.00000	16.00000
71	3	12.3771	3	3	24.00000	24.00000
72	3	12.3799	3	4	24.00000	32.00000
73	3	12.3799	4	-3	32.00000	-24.00000
74	3	12.3779	4	-2	32.00000	-16.00000
75	3	12.3767	4	-1	32.00000	-8.00000
76	3	12.3764	4	0	32.00000	 0.00000
77	3	12.3767	4	1	32.00000	 8.00000
78	3	12.3779	4	2	32.00000	16.00000
79	3	12.3799	4	3	32.00000	24.00000
80	3	12.3799	5	0	40.00000	 0.00000
