index	  h	  k	  l	 Ug_real  	 Ug_imag  	Vg_real(V)	Vg_imag(V)	 |Vg|(V)   	phi(rad)
  0	  0	  0	  0	 0.235895	 0.000000	22.356407	 0.000000	22.356407	 0.000000
  1	  1	  0	  0	 0.000568	 0.000000	 0.053859	 0.000000	 0.053859	 0.000000
  2	 -1	  0	  0	 0.000568	 0.000000	 0.053860	 0.000000	 0.053860	 0.000000
  3	 -2	  0	  0	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
  4	  2	  0	  0	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
  5	  0	  1	  0	 0.000713	 0.000000	 0.067568	 0.000000	 0.067568	 0.000000
  6	  0	 -1	  0	 0.000263	 0.000000	 0.024917	 0.000000	 0.024917	 0.000000
  7	  0	 -2	  0	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
  8	  1	 -1	  0	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
  9	 -1	 -1	  0	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 10	  0	  2	  0	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 11	  1	  1	  0	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 12	 -1	  1	  0	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
